"","dataset","tsid","longitude","latitude","ipccReg","archive","proxy","Category","CategorySpec","minAge","maxAge","ageRange","ageRes","ageResPlus","season","climInterp","source","direction","ka_0.5","ka_4","ka_6","ka_8","ka_10","maxValAge","minValAge","ageCtrlN","ageCtrlMax","ageCtrlMedian"
"200","ElCondorcave.Cheng.2013","S2LRLfv6iCnPNE",-77.3,-5.93,"NWS","Speleothem","d18O","Speleothem","Speleothem (δ18O)",290,6320,6030,50,50,"Summer","P","SISALv2","negative",-6.985,-6.85,-6.593,NA,NA,3280,6320,18,1770,145
"201","ElCondorcave.Cheng.2013","S2LRcMafCoSS3V",-77.3,-5.93,"NWS","Speleothem","d18O","Speleothem","Speleothem (δ18O)",4280,12000,7720,130,130,"Summer","P","SISALv2","negative",NA,-5.986,-5.705,-5.438,-5.207,4480,4770,18,5680,205
"202","ElGobernador.Meleif.1985","OLS_R91mklW7AkS",-74.35,3.85,"NWS","LakeDeposits","lakeLevel","Shoreline","Shoreline (Lake Level)",494.5,12000,11505.5,1174.5,8250,"Annual","P-E","Oxford Lake Level Database","negative",3,2,2,2,2,7321.35714285714,1490.83333333333,NA,NA,NA
"203","ElJunco.Colinvaux.1972","OLS_RGysUHCqwty",-89.45,-0.87,"EPO","LakeDeposits","lakeLevel","Shoreline","Shoreline (Lake Level)",494.5,12000,11505.5,1174.5,3470,"Annual","P-E","Oxford Lake Level Database","negative",1,2,2,1,1,4455.9,6688.5,NA,NA,NA
"204","ElJunco.Zhang.2014","LS14ZHJU01A",-89.4833,-0.9,"EPO","LakeSediment","dDwax","Leaf Wax","Leaf Wax (δD)",0,9102.7,9102.7,61.45,61.4000000000001,"Annual","P","Other","negative",-257.93,-249.42,-271.333,-264.15,NA,6248.2,1197.7,20,1119,76.7000000000007
"205","ElMaillomire.MoralesMolino.2013","lcRYHQZme5i2N0fBzz0",-6.2097,40.5467,"MED","Peat","pollen","Pollen","Pollen (Calibrated)",0,10630,10630,70,70,"Annual","P","Legacy Climate v1.0","positive",1147.956,1148.3,1123.441,1105.683,1072.506,1150,10440,9,3600,605
"206","Elsinore.Kirby.2019","WEBc66a4fba",-117.3542,33.6733,"NCA","LakeSediment","d18O","Lake Sediment (δ18O)","Lake Sediment (δ18O)",0,10895,10895,14.6000000000004,14.6000000000004,"Summer","P","Other","negative",0.079,-1.078,-1.269,1.479,1.158,5797.1,7752.4,17,2430,230
"207","Elsinore.Kirby.2019","WEBa4950857",-117.3542,33.6733,"NCA","LakeSediment","particle size","Other","Other (Not Calibrated)",0,10895,10895,10.1999999999998,10.1999999999998,"Winter","P","Other","positive",5.497,4.418,2.633,1.912,3.158,50.6,6217.7,17,2430,230
"208","ElSoplaocave.Rossi.2018","S2LRIixYo5wDj1",-4.3937,43.2962,"MED","Speleothem","d18O","Speleothem","Speleothem (δ18O)",7965.25,12000,4034.75,12.6316392099998,12.619047619999,"Annual","P","SISALv2","negative",NA,NA,NA,-5.215,-4.965,8869,11145.25,NA,NA,NA
"209","Embouchac.Puertas.1997","lcRhScBDOfWzXEnwp1A",3.9167,43.5664,"MED","Lagoon","pollen","Pollen","Pollen (Calibrated)",1470,9560,8090,40,40,"Annual","P","Legacy Climate v1.0","positive",NA,740.295,656.946,730.272,821.05,1470,6670,5,3360,935
"210","EmeraldLakeLeadville.Shuman.2014","pdRfvT1wuHIGXRlmUju",-106.406,39.151,"WNA","LakeSediment","lakeLevel","Shoreline","Shoreline (Lake Level)",250,7503,7253,50,50,"Annual","P-E","Liefert and Shuman, 2020","positive",0.045,-0.957,-1.966,-2.411,NA,500,7500,NA,NA,NA
"211","EnneriBardague.Bottcher.1972","OLS_RphnQDokp38",17,21.5,"SAH","LakeDeposits","lakeLevel","Shoreline","Shoreline (Lake Level)",494.5,12000,11505.5,1174.5,1120,"Annual","P-E","Oxford Lake Level Database","negative",3,3,2,1,2,9558.5,3468,NA,NA,NA
"212","EnosLake.Brown.2006","WEB10ea8a20",-124.15,49.28,"WNA","LakeSediment","pollen","Pollen","Pollen (Calibrated)",0,10473,10473,152,150.5,"Annual","P","Other","positive",1045,1061,1131.333,953.333,1265.4,10473,10227,9,2050,1190
"213","EPICADomeC.Stenni.2010","WEBdb3dc48a",123.3953,-75.1019,"EAN","GlacierIce","ice accumulation","Glacier Ice","Glacier Ice (Accumulation)",0,12000,12000,18.8584000000001,18.8530300000002,"Annual","P","Other","positive",27.871,28.964,29.009,28.505,33.11,10511.0078,2326.60645,NA,NA,NA
"214","EtangdyCorMontana.vanderKnaap.1997","lcRR7x41VDYDCPUJV8T",7.4792,46.3117,"WCE","Lake","pollen","Pollen","Pollen (Calibrated)",10,12000,11990,140,140,"Annual","P","Legacy Climate v1.0","positive",1222.92,1230.312,1207.155,933.933,660.34,3470,10390,8,2400,1370
"215","Euramoo.Kershaw.1970","OLS_Rr8es7LpU7s",145.63,-17.17,"NAU","LakeDeposits","lakeLevel","Shoreline","Shoreline (Lake Level)",494.5,12000,11505.5,1174.5,2252.5,"Annual","P-E","Oxford Lake Level Database","negative",2,2,3,1,3,7846,7939.75,NA,NA,NA
"216","Fachi.Faure.1966","OLS_RKoQn911SXJ",11.67,18.12,"SAH","LakeDeposits","lakeLevel","Shoreline","Shoreline (Lake Level)",494.5,12000,11505.5,1174.5,1172.5,"Annual","P-E","Oxford Lake Level Database","negative",3,2,2,2,1,8446,2405.25,NA,NA,NA
"217","Felchowsee.Jahns.2000","lcRpbhIeSqLqRxKnBNF",14.1307,53.0551,"WCE","Lake","pollen","Pollen","Pollen (Calibrated)",5070,12000,6930,110,105,"Annual","P","Legacy Climate v1.0","positive",NA,NA,676.633,657.875,660.66,5940,11350,NA,NA,NA
"218","FelkerLake.Galloway.2011","WEB30fe1262",-121.9953,51.95,"NWN","LakeSediment","diatom","Shoreline","Shoreline (Lake Level)",0,10688.7,10688.7,141.7,141.05,"Annual","P-E","Other","positive",6.959,9.166,10.224,9.031,10.322,5293.7,624.4,9,2872.7,638
"219","Fiskebolvatnet.Balascio.2012","GH340eae2e",14.802,68.413,"NEU","LakeSediment","MAR","Other","Other (Not Calibrated)",381,9495,9114,20,20,"Annual","P-E","Arctic Holocene","positive",0.017,0.023,0.008,0.007,NA,2760,8097.05,7,2500,1075
"220","FlowerValley.Balascio.2013","GH2d478757dp",-37.69,65.61,"GIC","LakeSediment","dDwax","Leaf Wax","Leaf Wax (δD)",308,8560,8252,313,318,"Summer","P-E","Other","negative",-109.944,-108.603,-99.317,-94.478,NA,1894,8560,NA,NA,NA
"221","FortRock.Bedwell.1970","OLS_RHt0P2iCpt5",-120.75,43.17,"WNA","LakeDeposits","lakeLevel","Shoreline","Shoreline (Lake Level)",494.5,12000,11505.5,1174.5,3734,"Annual","P-E","Oxford Lake Level Database","negative",3,2,3,3,3,3836.83333333333,6315.92857142857,NA,NA,NA
"222","FoundLake.McAndrews.1981","lcRSMVjlC246WXbuLnK",-78.64,45.55,"ENA","Lake","pollen","Pollen","Pollen (Calibrated)",0,11840,11840,180,180,"Annual","P","Legacy Climate v1.0","positive",1033.429,957.3,854.667,855.325,872.933,600,11840,7,2860,1450
"223","FoyLake.Stone.2008","GH96f3a962",-114.4,48.2,"WNA","LakeSediment","diatom","Shoreline","Shoreline (Lake Level)",1912.5,12000,10087.5,6,6.77000000000044,"Annual","P-E","Other","negative",NA,0.925,0.618,0.899,0.585,9956.84135371179,6116.4725477707,10,1990,855
"224","Frechencourt.vanZeist.1980","lcRKKBJ6j334zCND9v4",2.4333,49.95,"WCE","River","pollen","Pollen","Pollen (Calibrated)",2760,7500,4740,90,90,"Annual","P","Legacy Climate v1.0","positive",NA,1018.189,1022.245,986.2,NA,3470,7320,3,2010,955
"225","Frome.Bowler.1986","OLS_RTxbwsdvMwm",139.83,-30.75,"SAU","LakeDeposits","lakeLevel","Shoreline","Shoreline (Lake Level)",494.5,12000,11505.5,1174.5,1120,"Annual","P-E","Oxford Lake Level Database","negative",2,2,1,2,2,6293.5,7388.5,NA,NA,NA
"226","Fukugaguchicave.Sone.2013","S2LRjzNSFesB0T",137.8,36.9917,"EAS","Speleothem","d18O","Speleothem","Speleothem (δ18O)",0,10006.425,10006.425,6.3700000000008,6.3700000000008,"Winter","P","SISALv2","negative",-7.483,-7.396,-7.663,-7.637,-7.529,5222.475,405.85,10,2304,650
"227","Furongcave.T.-Y..2011","S2LR0spuNC2W1u",107.9036,29.2289,"EAS","Speleothem","d18O","Speleothem","Speleothem (δ18O)",6001.4,12000,5998.6,31.6153846200004,32.5695970700003,"Summer","P","SISALv2","negative",NA,NA,-8.068,-8.277,-8.244,9197,11859.25,7,2790,603.5
"228","GallanechBeg.Davies.1997","lcRQz7vdye6CXMQO3SI",-5.5014,56.3844,"NEU","Mire","pollen","Pollen","Pollen (Calibrated)",0,12000,12000,85,80,"Annual","P","Legacy Climate v1.0","positive",1203.275,1079.45,982.411,894.15,894.021,400,10690,12,2550,730
"229","GC2.Lamy.2010","WEB843e2ae7",-72.9295,-52.8103,"SSA","Peat","pollen","Pollen","Pollen (Not Calibrated)",38.39,12000,11961.61,106.21,106.21,"Annual","P","Other","positive",37.697,23.508,24.955,42.497,60,10548.46,11560.81,11,3055,580
"230","Gempabumicave.Krause.2019","S2LRaXy9OgKMGE",120,-5,"SEA","Speleothem","d18O","Speleothem","Speleothem (δ18O)",30,12000,11970,40,40,"Summer","P","SISALv2","negative",-8.937,-9.344,-9.486,-9.263,-7.976,5750,11800,15,3010,580
"231","GeoB10065-7.Steinke.2014","WEB-49aac-c148-4e76-809a-362e4",118.8935,-9.2237,"SEA","MarineSediment","Ti/Ca","Other","Other (Not Calibrated)",0,5815.8,5815.8,11.1500000000001,11.1999999999998,"Annual","P","Other","positive",-3.183,-3.787,-3.691,NA,NA,715.4,4486.1,37,360,130
"232","GeoB16204-2.Chiessi.2022","WEB-84c26-cf61-4730-a2fb-5101f",-42.3385,-1.9958,"NES","MarineSediment","Ti/Ca","Other","Other (Not Calibrated)",234.625,5175,4940.375,10.482,10.482,"Annual","P","Other","positive",-5.284,-4.858,NA,NA,NA,5060.321,442.557,6,1307,884
"233","GeoB20610-2.Miller.2020","WEB8ffb0dbb",34.7257,-25.0449,"ESAF","MarineSediment","dDwax","Leaf Wax","Leaf Wax (δD)",22.2,6550.1,6527.9,73.5,72.8,"Annual","P","Other","negative",-148.052,-146.589,-142.484,NA,NA,1504.2,619.3,11,2356,293.1
"234","GeoB3910.Jaeschke.2007","WEB8a35bba5",-36.3,-4.2,"NES","MarineSediment","Element Ratio","Other","Other (Not Calibrated)",480,12000,11520,40,40,"Annual","P-E","Other","positive",0.007,0.005,0.005,0.01,0.026,12000,4360,7,3050,1560
"235","GeoB4905.Weldeab.2005","WEB45411107",9.4,2.5,"CAF","MarineSediment","dDwax","Leaf Wax","Leaf Wax (δD)",228,12000,11772,135,140,"Annual","P","Other","negative",-15.48,-18.783,-30.344,-32.9,-35.38,9890,1991,8,2345,1175
"236","GeoB5804-4.Arz.2003","WEB21852084",34.9567,29.5017,"ARP","MarineSediment","particle size","Other","Other (Not Calibrated)",146,7378,7232,122,122,"Annual","P-E","Other","negative",0.792,0.618,0.309,NA,NA,7247,3150,8,1460,800
"237","GeoB6518.Schefuss.2005","WEB2ba16237",11.2217,-5.5883,"CAF","MarineSediment","dDwax","Leaf Wax","Leaf Wax (δD)",30,12000,11970,131,135,"Annual","P","Other","negative",-140.667,-150,-152.667,-157.571,-155.25,8678,151,NA,NA,NA
"238","GeoB7702-3.Castaneda.2016","LPD17ad91b2",34.0667,31.6517,"MED","MarineSediment","d13C","Other","Other (Not Calibrated)",141.8,12000,11858.2,193.25,191.8,"Annual","P-E","Other","negative",-27.777,-27.478,-26.994,-26.84,-27.653,3499.5,8554.3,9,2245,1320
"239","GeoB7702-3.Castaneda.2016","LPD277e0621",34.0667,31.6517,"MED","MarineSediment","pH","Other","Other (Not Calibrated)",141.8,12000,11858.2,191.75,193.25,"Annual","P-E","Other","negative",6.921,6.832,6.85,6.59,6.64,8554.3,2912.2,9,2245,1320
"240","GeoB7702-3.Castaneda.2016","WEB279cd5b2",34.0667,31.6517,"MED","MarineSediment","Magnetic Susceptibility","Other","Other (Not Calibrated)",56.7,12000,11943.3,38.3499999999999,38.9400000000001,"Annual","P","Other","positive",137.375,53.5,46.6,12.533,56.273,603.475,8675.77285714286,9,2245,1320
"241","GeoB7920-2.Collins.2013","WEB20f89efc",-18.5817,20.7517,"SAH","MarineSediment","particle size","Other","Other (Not Calibrated)",520,12000,11480,306,306,"Annual","P","Other","positive",-0.058,0.562,1.051,0.293,0.284,6838,11729,NA,NA,NA
"242","GeoB8331_4","WEB594c5634",16.7165,-29.1353,"WSAF","MarineSediment","dDwax","Leaf Wax","Leaf Wax (δD)",0,9869,9869,59.5,46.5,"Annual","P","Other","negative",-143.2,-152,-147,-142.5,-136.5,637,145,9,2386,768.5
"243","GeoB9307_3.Weldeab.2014","WEBf23684ea",37.38,-18.565,"ESAF","MarineSediment","dDwax","Leaf Wax","Leaf Wax (δD)",270,12000,11730,73,73,"Annual","P","Other","negative",-153.15,-147.5,-149.75,-143.725,-142.9,2703,8129,15,2620,467.5
"244","George.Coventry.1976","OLS_RfoenkHHXTE",149.42,-35.08,"SAU","LakeDeposits","lakeLevel","Shoreline","Shoreline (Lake Level)",494.5,12000,11505.5,1174.5,2252.5,"Annual","P-E","Oxford Lake Level Database","negative",3,3,2,1,3,7846,4764.66666666667,NA,NA,NA
"245","George.Hutchinson.1981","OLS_Ree2SxMXXUS",-73.65,43.52,"ENA","LakeDeposits","lakeLevel","Shoreline","Shoreline (Lake Level)",494.5,12000,11505.5,1174.5,2240,"Annual","P-E","Oxford Lake Level Database","negative",1,1,2,3,3,2683.9,9540.16666666667,NA,NA,NA
"246","GerryLake.Gavin.2009","lcRg0FX7kDsVlxAdcdh",-121.5055,53.6454,"NWN","Lake","pollen","Pollen","Pollen (Calibrated)",40,11180,11140,125,120,"Annual","P","Legacy Climate v1.0","positive",888.65,720.45,627.683,596.72,541.5,920,9240,10,1940,970
"247","GIK16163-2.Ma.2021","WEBb00c1138",45.9853,-14.748,"MDG","MarineSediment","d18O","Other","Other (Not Calibrated)",1372.4,12000,10627.6,235.6,235.9,"Annual","P","Other","negative",NA,0.023,0.22,-0.011,0.207,11982.3,11638.3,6,3110,1007.3
"248","GIK16166-2.Ma.2021","WEB19b9d003",45.681,-15.2693,"MDG","MarineSediment","d18O","Other","Other (Not Calibrated)",0.6274,25.1223,24.4949,0.258700000000001,0.257550000000001,"Annual","P","Other","negative",-0.115,NA,NA,NA,NA,25.1223,14.0373,6,2755,2105
"249","Gitanga.Bonnefille.2000","WEB1392075b",29.77,-3.7,"SEAF","Peat","pollen","Pollen","Pollen (Calibrated)",334.5,11968.5,11634,150,150,"Annual","P","Other","positive",1313.495,1312.133,1411.73,1400,956.17,1064.5,1189.5,6,3855,1049
"250","GladkoyeBog.Anderson.2002","lcRTqdPXHtWaFMq3hMc",83.3333,55,"WSB","Peat","pollen","Pollen","Pollen (Calibrated)",140,11180,11040,165,170,"Annual","P","Legacy Climate v1.0","positive",458.55,468.3,467.267,450.8,358.525,1410,10690,11,2050,790
"251","Gnotuk.Barton.1980","OLS_RSllKp5JECx",143.1,-38.22,"SAU","LakeDeposits","lakeLevel","Shoreline","Shoreline (Lake Level)",494.5,12000,11505.5,1174.5,2384,"Annual","P-E","Oxford Lake Level Database","negative",2,2,1,1,1,6342,10813.5,NA,NA,NA
"252","GoatLake.Anderson.2017","lcRQ9mDBHfr9XBLQbUd",-149.9085,60.2585,"NWN","Lake","pollen","Pollen","Pollen (Calibrated)",0,9090,9090,140,140,"Annual","P","Legacy Climate v1.0","positive",787.011,416.525,356.65,306.7,NA,790,6430,12,1330,750
"253","Golhisar.Eastwood.2007","WEB488f78ac",29.5992,37.1157,"MED","LakeSediment","d18O","Lake Sediment (δ18O)","Lake Sediment (δ18O)",302,10559,10257,74,74,"Annual","P-E","Other","negative",-3.563,-3.699,-6.704,-4.698,-6.827,6057,4071,8,1954,1180
"254","Gomishan.Leroy.2013","lcRfkhpLwl5zDhzsObe",54.0567,37.1517,"WCA","Marsh","pollen","Pollen","Pollen (Calibrated)",70,10890,10820,150,140,"Annual","P","Legacy Climate v1.0","positive",570.367,633.68,NA,557,518.18,3590,10890,9,3970,925
"255","Gonghai.Ding.2017","WEBbc36fb7b",112.14,38.54,"EAS","LakeSediment","pollen","Pollen","Pollen (Calibrated)",0,12000,12000,10,10,"Annual","P","Other","positive",422.671,554.186,587.565,548.244,487.373,5497,245.5,NA,NA,NA
"256","GooseBayMarsh.Rippke.2010","lcRlao41kuFDZ74153k",-75.8704,44.3511,"ENA","Marsh","pollen","Pollen","Pollen (Calibrated)",0,8160,8160,80,80,"Annual","P","Legacy Climate v1.0","positive",829.543,970.19,943,900,NA,4750,30,10,1860,920
"257","GouldPond.JacobsonJr.1987","lcRpmbA744mctx0iYnT",-69.3167,44.9833,"ENA","Lake","pollen","Pollen","Pollen (Calibrated)",0,12000,12000,130,130,"Annual","P","Legacy Climate v1.0","positive",1052.682,1123.633,1086.31,937.1,884.8,900,11740,9,2630,1160
"258","GrachenSee.vanderKnaap.1997","lcRQNnJ7W7IKng8MaOe",7.845,46.1956,"WCE","Lake","pollen","Pollen","Pollen (Calibrated)",0,9260,9260,100,100,"Annual","P","Legacy Climate v1.0","positive",1144.633,1154.2,1124.857,1135.9,NA,2400,9230,9,1620,840
"259","GrahamLake.Fuller.1995","lcRCyUpvGwoKyOEvQkq",-77.35,45.1833,"ENA","Lake","pollen","Pollen","Pollen (Calibrated)",0,12000,12000,40,40,"Annual","P","Legacy Climate v1.0","positive",1031.308,992.275,974.628,903.479,848.129,1550,11820,6,2420,1780
"260","GrandeBriere.Visset.1979Legacy","lcRmOmrZ1GmmblFM6W3",-2.25,47.3667,"WCE","Peat","pollen","Pollen","Pollen (Calibrated)",170,6240,6070,130,130,"Annual","P","Legacy Climate v1.0","positive",1130.975,902.171,525.35,NA,NA,3120,5200,8,1920,340
"261","GrantsBog.Lacourse.2019","lcR811cfIlc7gPTWct5",-125.1271,49.7887,"WNA","Bog","pollen","Pollen","Pollen (Calibrated)",0,12000,12000,135,130,"Annual","P","Legacy Climate v1.0","positive",2186.789,2409.9,2006.073,1759.017,1517.425,3800,11770,7,2870,1545
"262","Grasvatn.Moe.1996","lcRaZI95pzisAqfMKRi",8.6891,63.7029,"NEU","Lake","pollen","Pollen","Pollen (Calibrated)",140,12000,11860,240,245,"Annual","P","Legacy Climate v1.0","positive",859.45,767.075,707.533,767.2,873.6,11340,5630,8,3110,1370
"263","GraysLake.Beiswenger.1987","lcR89DqINtE3c8u2oBa",-111.438,43.0662,"WNA","Lake","pollen","Pollen","Pollen (Calibrated)",1180,12000,10820,200,200,"Annual","P","Legacy Climate v1.0","positive",NA,395.4,419.5,387.1,394.08,11320,6710,5,2870,2420
"264","GreyIslands.Evans.2002","lcRquihWeSVoCRQXYyT",-55.5167,50.7689,"NEN","Lake","pollen","Pollen","Pollen (Calibrated)",0,11380,11380,130,130,"Annual","P","Legacy Climate v1.0","positive",978.83,1042.32,1070.4,1044.5,826.933,4320,11380,6,3200,1830
"265","GRIP_accumulation.Vinther.2006","GHd57f7596",-37.63,72.58,"GIC","GlacierIce","ice accumulation","Glacier Ice","Glacier Ice (Accumulation)",0,12000,12000,3.5,3.59999999999945,"Annual","P","Other","positive",0.23,0.236,0.236,0.235,0.23,3936.2,11666,NA,NA,NA
"266","GrosserKrebssee.Jahns.1999","lcRCOiuJmrTNYijSm8z",14.1002,52.8455,"WCE","Lake","pollen","Pollen","Pollen (Calibrated)",3710,10580,6870,20,20,"Annual","P","Legacy Climate v1.0","positive",NA,713.718,690.848,662.892,598.92,4570,10300,14,2270,580
"267","GrottedePiste.AitBrahim.2018","S2LRUj7txiX4BK",-4.246,33.95,"MED","Speleothem","d18O","Speleothem","Speleothem (δ18O)",0,11415.9420739,11415.9420739,11.4943821399993,11.4819203399998,"Winter","P-E","SISALv2","negative",-5.403,-5.112,-5.168,-5.322,-4.97,52.6315487499,11415.9420739,42,1350.22560806,95
"268","Gunnarsfjorden.Allen.2007","PYTU06V9X6E",28.17,71.04,"NEU","LakeSediment","pollen","Pollen","Pollen (Calibrated)",0,9124.107,9124.107,98.0030000000006,98.0030000000006,"Summer+","P","Arctic Holocene","positive",298.421,441.889,491.778,607.3,NA,8078.866,377.271,12,2665,427.5
"269","Gunnarsfjorden.Allen.2007","WEBf55e2a4d",28.17,71.04,"NEU","LakeSediment","pollen","Pollen","Pollen (Calibrated)",0,9124.107,9124.107,98.0030000000006,99.2149999999992,"Winter+","P","Arctic Holocene","positive",324,416.556,452.556,534.9,NA,8078.866,8966.492,12,2665,427.5
"270","Gunnarsfjorden.Allen.2007","WEB09437cc2",28.17,71.04,"NEU","LakeSediment","pollen","Pollen","Pollen (Calibrated)",0,9124.107,9124.107,98.0030000000006,98.2890000000002,"Annual","P","Arctic Holocene","positive",622.421,858.444,944.333,1142.2,NA,8078.866,8966.492,12,2665,427.5
"271","GunNuur.Chen.2008","GHa7a4074f",106.6,50.25,"ESB","LakeSediment","hybrid","Other","Other (Not Calibrated)",0,9200,9200,50,500,"Annual","P-E","Mid-Latitude Holocene","positive",1.762,2.857,3,1.762,NA,4575,5014.0350877193,NA,NA,NA
"272","Gunung-budacavesnailshellcave.Partin.2007","S2LRvbxKcEircj",114.48,4.02,"SEA","Speleothem","d18O","Speleothem","Speleothem (δ18O)",0,12000,12000,41,40.5,"Annual","P","SISALv2","negative",-9.468,-9.941,-9.667,-9.038,-8.525,4956,10891,24,2073,217
"273","Gur.Mokhova.2009","lcRGzeoFV49AbtHJxKb",51.8417,53.0333,"EEU","Peat","pollen","Pollen","Pollen (Calibrated)",0,12000,12000,190,190,"Annual","P","Legacy Climate v1.0","positive",632.167,701.85,647.767,606.867,616.483,3810,11570,8,2600,905
"274","GytgykaiLake.Anderson.2002","lcRy7IhuBaQ6uF11NxS",175,63.1667,"RFE","Lake","pollen","Pollen","Pollen (Calibrated)",6510,12000,5490,120,120,"Annual","P","Legacy Climate v1.0","positive",NA,NA,NA,325.686,240.7,6510,10000,2,2910,2020
"275","HailLake.Cwynar.1995","lcRzxniarU5TTRDhKkh",-129.0167,60.0333,"NWN","Lake","pollen","Pollen","Pollen (Calibrated)",10,11780,11770,120,120,"Annual","P","Legacy Climate v1.0","positive",537.86,513.633,425.014,346.24,322.869,850,11210,7,2990,940
"276","HaircutLake.Edwards.2015","lcRjEweSTJryZAYGb1l",-133.2091,60.5161,"NWN","Lake","pollen","Pollen","Pollen (Calibrated)",540,7910,7370,290,310,"Annual","P","Legacy Climate v1.0","positive",444.9,364.1,348.5,335.9,NA,620,6900,6,2370,1280
"277","HalosI.Bottema.1988","lcR9Wrg5WflyKPDn0gq",22.8378,39.1606,"MED","Peat","pollen","Pollen","Pollen (Calibrated)",580,8430,7850,200,200,"Annual","P","Legacy Climate v1.0","positive",644.2,742.325,716.929,731.04,NA,5420,580,4,2880,1510
"278","HamsLake.Bennett.1987","lcREzhF3Ls6YkH3b9dK",-80.4133,43.2367,"ENA","Lake","pollen","Pollen","Pollen (Calibrated)",0,12000,12000,120,120,"Annual","P","Legacy Climate v1.0","positive",952.022,992.567,1047.233,950.736,845.112,2370,11800,10,2000,1230
"279","Harding.Finkenbinder.2014","WEB6b4c459e",-146.85,64.42,"NWN","LakeSediment","TOC","Shoreline","Shoreline (Lake Level)",0,12000,12000,48,48,"Annual","P-E","Other","positive",16.237,14.812,13.031,9.807,6.731,253,9429,16,2800,380
"280","Harding.Finkenbinder.2014","WEBccba2853",-146.85,64.42,"NWN","LakeSediment","MS","Shoreline","Shoreline (Lake Level)",88.2,12000,11911.8,9.59999999999945,9.59999999999945,"Annual","P-E","Other","negative",1.437,2.04,3.121,4.545,10.758,97.8,11989,16,2800,325
"281","HealLake.Brown.2006","WEB7ec5f35f",-123.46,48.54,"WNA","LakeSediment","pollen","Pollen","Pollen (Calibrated)",0,11668,11668,187,193.5,"Annual","P","Other","positive",1042,1129.5,1040,948.571,954.667,11668,9705,8,3090,1398
"282","HeartLake.Whitehead.1990","lcRQfIlOAnlXiGk0QCz",-73.9696,44.1824,"ENA","Lake","pollen","Pollen","Pollen (Calibrated)",0,12000,12000,300,300,"Annual","P","Legacy Climate v1.0","positive",1087,1106.1,1052.75,1028.8,888.4,2650,11470,9,3450,660
"283","Heifeng.Yang.2019","WEBc755bc5d",107.1792,29.0167,"EAS","Speleothem","d18O","Speleothem","Speleothem (δ18O)",480,11490,11010,30,30,"Summer","P","Other","negative",-6.836,-7.827,-9.107,-9.681,-9.413,7930,1120,NA,NA,NA
"284","Heihai.Ramisch.2016","WEB9c6bb823",93.241,35.994,"TIB","LakeSediment","u Cluster 2","Other","Other (Not Calibrated)",51.5,11141.1,11089.6,105.6,107.199999999999,"Summer","P","Other","positive",0.408,0.527,0.786,0.878,0.656,8088.4,3512.1,NA,NA,NA
"285","HermitLake.Anderson.2018Legacy","lcRXLkyFOBBg5jAZeV9",-105.6317,38.0881,"WNA","Lake","pollen","Pollen","Pollen (Calibrated)",0,11880,11880,220,230,"Annual","P","Legacy Climate v1.0","positive",430.125,436.462,436.525,434.3,438.925,11300,8690,12,2290,185
"286","Heshang.Zhu.2017","WEB920c3f3a",110.4167,30.45,"EAS","Speleothem","IRM","Speleothem","Speleothem (Other)",138,8539.5,8401.5,63.75,63,"Annual","P","Other","positive",2.143,0.691,0.231,1.66,NA,458,6431,NA,NA,NA
"287","Heshangcave.C..2008","S2LR984dImqQzT",110.4167,30.45,"EAS","Speleothem","d13C","Speleothem","Speleothem (δ13C)",0,9470,9470,1,1,"Summer","P","SISALv2","negative",-8.214,-8.81,-9.679,-8.916,NA,7428,1000,26,819,293
"288","HeshangCave.Wang.2018","WEB7baf4af4",110.4167,30.45,"EAS","Speleothem","pH","Speleothem","Speleothem (Other)",73,8807,8734,91,88,"Annual","P-E","Other","negative",1.525,1.404,1.206,1.07,NA,7419,486,21,704,398.5
"289","Hidden.Tang.1999","WEBe3940424",92.54,29.81,"TIB","LakeSediment","pollen","Pollen","Pollen (Calibrated)",0,11990,11990,50,50,"Annual","P","Other","positive",494.041,582.146,631.673,590.288,567.778,5990,40,NA,NA,NA
"290","HiddenLake.Shuman.2009","pdR7ZhOvHhlSIltqdXY",-106.61,40.5,"WNA","LakeSediment","lakeLevel","Shoreline","Shoreline (Lake Level)",50,7900,7850,50,50,"Annual","P-E","Liefert and Shuman, 2020","positive",-0.054,-0.86,-3.364,-3.757,NA,50,7900,NA,NA,NA
"291","HighLake.Fuller.1995","lcRS0efHRT1BJR9ikbT",-76.6,44.5167,"ENA","Lake","pollen","Pollen","Pollen (Calibrated)",0,12000,12000,40,40,"Annual","P","Legacy Climate v1.0","positive",1008.888,974.509,977.577,906.822,849.56,2500,8800,8,1750,1410
"292","HodellMiragoane1991","LPDfdd2a0239",-73.05,18.4,"CAR","LakeSediment","d18O","Lake Sediment (δ18O)","Lake Sediment (δ18O)",2.273,12000,11997.727,17.5920000000006,17.5920000000006,"Annual","P-E","Other","negative",1.068,0.509,0.368,0.154,1.082,6589.902,11363,NA,NA,NA
"293","Hollywoodcave.Whittaker.2011","S2LR508v90zCF5",171.47,-41.95,"NZ","Speleothem","d13C","Speleothem","Speleothem (δ13C)",0,4141.3008,4141.3008,11.5185,11.49975,"Annual","P-E","SISALv2","negative",-7.45,-6.597,NA,NA,NA,128.7889,3080.009,5,1322.3008,669
"294","Hongyuan.Yu.2006","GH28d0af42",102.5167,32.7667,"EAS","Peat","humification","Other","Other (Not Calibrated)",70,11540,11470,20,20,"Summer","P","Other","positive",0.22,0.274,0.33,0.389,0.38,9645,70,11,2430,806
